127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/images/item1%20(1).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/images/item1%20(2).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/images/item1%20(3).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/images/close1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:52:20 +0800] "GET /NiceShop/images/JamesShoe.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:52:36 +0800] "GET /NiceShop/login.jsp HTTP/1.1" 200 1931
127.0.0.1 - - [21/Dec/2017:15:52:43 +0800] "GET /NiceShop/register.jsp HTTP/1.1" 200 2420
127.0.0.1 - - [21/Dec/2017:15:52:43 +0800] "GET /NiceShop/css/register.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:52:44 +0800] "GET /NiceShop/images/headbg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:52:46 +0800] "GET /NiceShop/login.jsp HTTP/1.1" 200 1931
127.0.0.1 - - [21/Dec/2017:15:55:15 +0800] "GET /NiceShop/ HTTP/1.1" 200 5619
127.0.0.1 - - [21/Dec/2017:15:55:16 +0800] "GET /NiceShop/ZY-Jordan.jsp HTTP/1.1" 200 5538
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5092
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/images/item1%20(1).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/images/item1%20(2).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/images/item1%20(3).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:55:53 +0800] "GET /NiceShop/images/close1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:56:40 +0800] "GET /NiceShop/login.jsp HTTP/1.1" 200 1931
127.0.0.1 - - [21/Dec/2017:15:58:05 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5092
127.0.0.1 - - [21/Dec/2017:15:58:05 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:58:05 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5106
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/images/item1%20(2).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/images/da14.png HTTP/1.1" 200 331216
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/images/item1%20(3).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /NiceShop/images/close1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:18:26 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5106
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/images/item1%20(2).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/images/item1%20(3).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/images/close1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /NiceShop/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:16:49:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [21/Dec/2017:16:49:30 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5106
127.0.0.1 - - [21/Dec/2017:16:49:30 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:16:49:30 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:16:49:30 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [21/Dec/2017:16:49:49 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5106
127.0.0.1 - - [21/Dec/2017:16:49:49 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:16:49:49 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:16:49:49 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [21/Dec/2017:16:54:12 +0800] "GET /NiceShop/ HTTP/1.1" 200 5619
127.0.0.1 - - [21/Dec/2017:16:54:13 +0800] "GET /NiceShop/ZY-ball.jsp HTTP/1.1" 200 5653
127.0.0.1 - - [21/Dec/2017:17:00:50 +0800] "GET /NiceShop/ZY-KOBE.jsp HTTP/1.1" 200 5787
127.0.0.1 - - [21/Dec/2017:17:00:54 +0800] "GET /NiceShop/ZY-ball.jsp HTTP/1.1" 200 5672
127.0.0.1 - - [21/Dec/2017:17:00:57 +0800] "GET /NiceShop/ZY-Jordan.jsp HTTP/1.1" 200 5538
127.0.0.1 - - [21/Dec/2017:17:01:02 +0800] "GET /NiceShop/ZY-KOBE.jsp HTTP/1.1" 200 5787
127.0.0.1 - - [21/Dec/2017:17:01:06 +0800] "GET /NiceShop/ZY-JAMES.jsp HTTP/1.1" 200 5803
127.0.0.1 - - [21/Dec/2017:17:01:06 +0800] "GET /NiceShop/images/da2.png HTTP/1.1" 200 154043
127.0.0.1 - - [21/Dec/2017:17:01:06 +0800] "GET /NiceShop/css/ZIYE-JAMES.css HTTP/1.1" 200 4632
127.0.0.1 - - [21/Dec/2017:17:01:06 +0800] "GET /NiceShop/js/ZY-JAMES.js HTTP/1.1" 200 1894
127.0.0.1 - - [21/Dec/2017:17:01:06 +0800] "GET /NiceShop/images/da3.png HTTP/1.1" 200 229156
127.0.0.1 - - [21/Dec/2017:17:01:06 +0800] "GET /NiceShop/images/da1.png HTTP/1.1" 200 119101
127.0.0.1 - - [21/Dec/2017:17:01:06 +0800] "GET /NiceShop/images/da4.png HTTP/1.1" 200 162363
